LG10_#2_1.00000002822922e-07cM_32792,*
LG10_#3_1.32563841996948cM_42463,LG10_#14_1.90417887522906cM_23112
LG10_#4_2.15931787583228cM_43522,*
LG10_#6_4.7005279366389cM_30636,LG10_#23_2.69256284199204cM_21418
LG10_#5_2.15931797583228cM_26700,*
LG10_#8_4.7005281366389cM_37244,*
LG10_#1_0cM_34922,*
LG10_#10_8.22400406479116cM_981,LG10_#3_1.51194518003934cM_43589
LG10_#7_4.7005280366389cM_26739,*
LG10_#9_7.37631470658697cM_21073,*
LG10_#12_9.04741573009187cM_42599,LG10_#24_2.69256294199204cM_50199
LG10_#11_8.22400416479116cM_32495,LG10_#2_0.849654070279093cM_37825
LG10_#14_10.5834742938211cM_23511,LG10_#5_1.51194538003934cM_7016
LG10_#16_10.5834744938211cM_37421,LG10_#20_1.90417947522908cM_8670
LG10_#13_9.77483614988471cM_36768,*
LG10_#17_10.5834745938211cM_450,*
LG10_#18_10.5834746938211cM_10574,LG10_#26_2.69256314199204cM_45147
LG10_#15_10.5834743938211cM_25359,*
LG10_#19_10.5834747938212cM_14675,*
LG10_#21_10.5834749938212cM_46425,LG10_#17_1.90417917522907cM_44649
LG10_#23_10.5834751938212cM_33201,LG10_#13_1.90417877522906cM_34244
LG10_#20_10.5834748938212cM_41844,*
LG10_#22_10.5834750938212cM_46148,*
LG10_#26_10.5834754938212cM_25715,*
LG10_#25_10.5834753938212cM_19666,*
LG10_#24_10.5834752938212cM_21447,*
LG10_#27_10.5834755938212cM_5369,*
LG10_#29_11.15778077488cM_10584,LG10_#10_1.90417847522905cM_13512
LG10_#30_12.1089774065436cM_35902,LG10_#31_3.49263791476577cM_35523
LG10_#32_13.6477362822409cM_46730,LG10_#27_3.21662257438922cM_41839
LG10_#28_10.5834756938212cM_36856,*
LG10_#33_13.6477363822409cM_9131,*
LG10_#31_12.1089775065436cM_6777,*
LG10_#34_13.6477364822409cM_1404,*
LG10_#35_13.6477365822409cM_17381,*
LG10_#36_13.6477366822409cM_18017,*
LG10_#38_13.6477368822409cM_22454,*
LG10_#39_13.6477369822409cM_23003,*
LG10_#37_13.6477367822409cM_34786,*
LG10_#40_14.3548426706702cM_23516,LG10_#29_3.21662277438922cM_13929
LG10_#43_18.0561652383974cM_8946,LG10_#35_9.1845228678675cM_4637
LG10_#44_18.0561653383974cM_21588,LG10_#37_9.58799573970168cM_24869
LG10_#41_14.3548427706702cM_5393,*
LG10_#45_20.2510066473713cM_13926,*
LG10_#46_20.2510067473713cM_22250,LG10_#38_9.58799583970168cM_55397
LG10_#47_20.2510068473713cM_11546,LG10_#36_9.58799563970168cM_11121
LG10_#42_18.0561651383974cM_33386,*
LG10_#49_21.719887453491cM_13349,*
LG10_#51_22.4688603989898cM_22460,LG10_#44_13.839892128731cM_28710
LG10_#52_22.4688604989898cM_14992,LG10_#42_13.577318504914cM_27439
LG10_#53_24.7644648502719cM_44425,LG10_#48_15.2392626498626cM_300
LG10_#48_21.719887353491cM_24984,*
LG10_#54_24.7644649502719cM_12552,LG10_#46_14.9789800292073cM_43891
LG10_#56_25.6936734379259cM_6842,LG10_#47_15.2392625498626cM_33306
LG10_#50_21.719887553491cM_5306,*
LG10_#57_29.762022492423cM_44090,LG10_#50_21.1103867964299cM_43813
LG10_#59_31.3351242863261cM_10092,*
LG10_#60_32.4344085867121cM_43476,LG10_#52_24.8544246552114cM_45991
LG10_#55_25.6936733379259cM_15367,*
LG10_#58_31.3351241863261cM_6154,*
LG10_#62_34.4648092467238cM_3378,LG10_#53_26.9005000039444cM_23140
LG10_#63_38.5362433959538cM_35788,LG10_#56_30.8741690209626cM_36902
LG10_#61_34.4648091467238cM_21768,*
LG10_#64_39.810194967116cM_482,LG10_#58_32.1927810107205cM_41345
LG10_#65_42.7541157783742cM_26096,LG10_#57_31.918532022642cM_42895
LG10_#68_44.1593795740892cM_29767,LG10_#64_34.7492877626203cM_3451
LG10_#66_43.5844787088492cM_43020,*
LG10_#69_44.1593796740892cM_37496,LG10_#65_35.0311839171601cM_43619
LG10_#70_44.9000539269754cM_5103,LG10_#63_34.7492876626203cM_36932
LG10_#67_43.5844788088492cM_2516,*
LG10_#72_47.7962741612689cM_973,LG10_#69_49.7628331104755cM_43496
LG10_#71_47.0229125424532cM_39716,*
LG10_#74_51.3510130467009cM_32779,*
LG10_#75_52.2177454368421cM_26559,LG10_#77_53.6631742120768cM_11418
LG10_#77_52.2177456368421cM_24423,LG10_#71_50.3414417412844cM_3723
LG10_#73_49.4072323019285cM_33169,*
LG10_#76_52.2177455368421cM_30098,*
LG10_#78_52.2177457368421cM_34396,LG10_#76_53.3065750575037cM_45255
LG10_#80_52.2177459368421cM_37712,LG10_#79_54.3542718089243cM_13744
LG10_#82_52.9247697885033cM_5268,LG10_#84_55.4115722100434cM_26333
LG10_#83_52.9247698885033cM_10388,*
LG10_#79_52.2177458368421cM_34681,*
LG10_#81_52.2177460368421cM_26889,*
LG10_#84_52.9247699885033cM_8638,LG10_#83_55.0069022161118cM_45513
LG10_#85_64.2849133832519cM_2058,*
LG10_#87_74.5485227095385cM_5987,*
LG10_#86_64.2849134832519cM_14249,*
LG10_#89_74.5485229095385cM_4611,*
LG10_#91_76.3175898766633cM_7807,*
LG10_#88_74.5485228095385cM_2965,*
LG10_#93_78.4592318272433cM_36897,LG10_#90_58.5784119764974cM_43374
LG10_#90_76.3175897766633cM_40131,*
LG10_#92_78.4592317272433cM_14871,*
LG10_#96_81.9710854938604cM_36092,LG10_#91_59.006571380126cM_15958
LG10_#95_81.1762275551287cM_19494,LG10_#89_57.8467317139512cM_17089
LG10_#97_82.6881855709603cM_10417,LG10_#97_59.5324403260708cM_32679
LG10_#99_83.7369303893255cM_24673,LG10_#95_59.5324401260708cM_20395
LG10_#94_80.4413809091655cM_26910,*
LG10_#98_82.6881856709603cM_6079,*
LG10_#101_89.0005960527838cM_17220,LG10_#113_65.3712440701711cM_27331
LG10_#100_87.448784263804cM_7091,*
LG10_#104_91.3995667753137cM_19361,*
LG10_#105_92.5692814530115cM_25068,LG10_#98_60.3004560339939cM_33837
LG10_#106_92.5692815530115cM_20120,LG10_#102_62.0584291511204cM_44660
LG10_#102_89.0005961527838cM_27563,*
LG10_#103_91.3995666753137cM_38372,*
LG10_#108_93.7765377467477cM_8643,LG10_#100_62.0584289511204cM_40222
LG10_#109_95.258928561016cM_41717,LG10_#105_63.2139155531727cM_47322
LG10_#107_93.7765376467477cM_23266,*
LG10_#112_98.966424458443cM_11477,LG10_#120_65.8883781664867cM_37360
LG10_#111_97.4626458427812cM_21131,LG10_#110_64.3173211616639cM_53270
LG10_#113_99.7115465181439cM_32901,LG10_#121_66.4001362142143cM_9266
LG10_#115_99.8643612792955cM_25972,LG10_#114_65.6279731610613cM_5243
LG10_#110_96.3672398052313cM_6446,*
LG10_#117_102.104703913537cM_12617,LG10_#124_66.4001365142144cM_4903
LG10_#114_99.8643611792955cM_33238,*
LG10_#116_100.77571039548cM_30971,*
LG10_#120_102.9018647214cM_13751,LG10_#104_62.8338183040953cM_38431
LG10_#121_104.319010466458cM_42163,*
